feature,mean_importance
mental_health_rating,-0.0016124614485854005
screen_time,-0.0012262598574409589
social_activity,-0.0011347478027045276
parental_support_level,-0.0007802736481257178
age,-0.0006338131978120387
diet_quality,-0.00035346421333413145
dropout_risk_Yes,-0.00032888217560946844
internet_quality,-0.0003061116893791738
extracurricular_participation_Yes,-0.000285383016107521
major_Business,-0.00021395118907125977
social_media_hours,-0.00010478945959611075
part_time_job_Yes,-0.00010357856514577878
major_Psychology,-7.933507399831008e-05
gender_Male,-7.883683599891888e-05
major_Computer Science,-7.26762725752561e-05
semester,-5.1042456397887294e-05
major_Engineering,-3.507104416895501e-05
gender_Other,-1.8240885913201056e-05
exam_anxiety_score,0.0
major_Biology,2.523586292195734e-05
family_income_range,4.8724377019016e-05
learning_style_Visual,4.983052127378595e-05
learning_style_Kinesthetic,8.544895083311133e-05
learning_style_Reading,0.00014258360781804758
netflix_hours,0.00017963085470042994
parental_education_level,0.000304591813163535
attendance_percentage,0.0004081820777644518
time_management_score,0.0015344525038873736
study_environment_Co-Learning Group,0.002264461863909051
study_environment_Library,0.0027648895539130526
study_environment_Quiet Room,0.008998669969442008
sleep_hours,0.014229259711442932
exercise_frequency,0.015650801458274778
stress_level,0.026678586874902453
access_to_tutoring_Yes,0.027356384110258557
study_environment_Dorm,0.028890281163067154
study_hours_per_day,0.12027138720099957
motivation_level,0.13606105758272238
