feature,mean_importance
diet_quality,-0.0008376811368955295
learning_style_Kinesthetic,-0.0005259958341981453
attendance_percentage,-0.0004787106672514474
social_activity,-0.000346505141042841
exam_anxiety_score,-0.00033499595582353603
time_management_score,-0.00022163110480102332
semester,-0.00019165555753000162
age,-0.00015371924934020064
part_time_job_Yes,-0.00014778415991014703
major_Biology,-0.00013965456195055292
major_Psychology,-8.534473245207508e-05
gender_Other,-7.943753507420049e-05
major_Engineering,-7.377302173676714e-05
parental_support_level,-7.232766438329819e-05
major_Business,-3.18661683518684e-05
study_environment_Dorm_sum_exam_anxiety_score,2.0336745978011272e-05
internet_quality,3.7276666341590216e-05
motivation_level_sum_screen_time,7.376169559740742e-05
extracurricular_participation_Yes,0.00010307882106042054
major_Computer Science,0.00010823729808564497
learning_style_Reading,0.00012630443792553957
family_income_range,0.00015618125581824406
gender_Male,0.0001984728929091073
netflix_hours,0.00022642412043121228
learning_style_Visual,0.00023051769755875196
screen_time_diff_exam_anxiety_score,0.000256980766932724
dropout_risk_Yes,0.00031517361982706936
mental_health_rating,0.0003938955242951403
screen_time,0.0005245804697121992
parental_education_level,0.0006085180040617866
exam_anxiety_score_diff_study_environment_Dorm,0.001389903756311206
social_media_hours,0.0015848763098128104
motivation_level,0.0017439770474953376
exam_anxiety_score_diff_access_to_tutoring_Yes,0.002212974154010916
study_environment_Dorm,0.0025188704165240994
study_environment_Co-Learning Group,0.0025396999478027203
study_environment_Library,0.00356673271772161
motivation_level_sum_study_hours_per_day,0.003919714716684819
motivation_level_diff_study_environment_Dorm,0.007167800998981511
access_to_tutoring_Yes_sum_motivation_level,0.007582374922638313
study_hours_per_day_diff_exam_anxiety_score,0.007792516374879255
access_to_tutoring_Yes,0.009754722946495153
study_hours_per_day,0.010093698650346839
study_environment_Quiet Room,0.010455174943734758
sleep_hours,0.013131025519539975
exercise_frequency,0.016772946325813498
study_hours_per_day_diff_study_environment_Dorm,0.023045605530705872
stress_level,0.027931119795712767
