feature,mean_importance
Dist_Cluster_6,-0.006104877982647428
Dist_Cluster_25,-0.004552584568465035
Dist_Cluster_7,-0.0036564814706734118
Dist_Cluster_5,-0.0034945841535795052
Dist_Cluster_31,-0.003290900738829694
Dist_Cluster_26,-0.003204434450763327
Dist_Cluster_30,-0.002965477019206486
Dist_Cluster_32,-0.0027415551714552013
Dist_Cluster_36,-0.0022586769044934175
Dist_Cluster_22,-0.0021456703906118425
Dist_Cluster_3,-0.0021173400431725884
screen_time,-0.00192609715988199
Dist_Cluster_14,-0.0018010171935513685
Dist_Cluster_16,-0.0017603073485618292
Dist_Cluster_37,-0.0017391455922175058
Dist_Cluster_4,-0.001548479026179761
age,-0.0015058219101269144
Dist_Cluster_19,-0.001473887722318401
mental_health_rating,-0.0013694881757762012
Dist_Cluster_13,-0.0013414285566803353
extracurricular_participation_Yes,-0.0011628658639491363
dropout_risk_Yes,-0.0011567671953744308
social_activity,-0.0010937262358355904
study_environment_Dorm,-0.0010787568689253567
parental_education_level,-0.00100140520250811
study_environment_Co-Learning Group,-0.0008730567527785559
attendance_percentage,-0.0007275138435883122
learning_style_Kinesthetic,-0.0005901772972060293
major_Computer Science,-0.0005334827889619919
Dist_Cluster_12,-0.00042677247983846645
semester,-0.00036151659411420844
major_Business,-0.0003230788197990719
Cluster,-0.00031177342404167254
Dist_Cluster_1,-0.00024963591279063556
gender_Male,-0.00023896281936401919
gender_Other,-0.00023793826101972115
family_income_range,-0.0002253787702086063
internet_quality,2.1125382138431625e-05
major_Biology,3.6685486939069814e-05
learning_style_Reading,6.689705144327096e-05
parental_support_level,0.00014000591117326877
Dist_Cluster_33,0.00020211809541421656
part_time_job_Yes,0.00024776336339409343
Dist_Cluster_23,0.0003710728994830603
Dist_Cluster_8,0.000421599989255661
diet_quality,0.0004530619916384371
Dist_Cluster_21,0.0005913850396940701
learning_style_Visual,0.0006443919416193377
Dist_Cluster_2,0.000788564293261218
Dist_Cluster_17,0.000804265047462116
Dist_Cluster_15,0.0010127294299437483
time_management_score,0.001090093923854263
Dist_Cluster_9,0.0011015108547737685
Dist_Cluster_27,0.001352941064237112
Dist_Cluster_34,0.0014022842394223467
major_Psychology,0.0014243683837463327
Dist_Cluster_18,0.0015681694242531742
study_environment_Library,0.0018662605945784171
Dist_Cluster_35,0.002075868646028156
Dist_Cluster_20,0.0025053783287034338
exam_anxiety_score,0.002507121590967265
study_environment_Quiet Room,0.0026779276087656846
netflix_hours,0.0032663944557705716
major_Engineering,0.0033275882809044254
Dist_Cluster_0,0.0033287601151671176
Dist_Cluster_29,0.0035241064723400494
Dist_Cluster_24,0.0035719437245763652
Dist_Cluster_11,0.0041963457387596435
Dist_Cluster_10,0.005671716035078744
Dist_Cluster_28,0.005703439258750653
social_media_hours,0.00970436887428261
access_to_tutoring_Yes,0.011585994886595952
exercise_frequency,0.019594525181602207
sleep_hours,0.020439217667839647
motivation_level,0.022577312224126976
stress_level,0.02890835661833846
study_hours_per_day,0.04103832693119882
