feature,mean_importance
parental_support_level,-0.0006072459729176361
learning_style_Kinesthetic,-0.00021847645745982637
gender_Male,-0.00021689534387503429
diet_quality,-0.00020612812626601417
gender_Other,-0.00019396268711411314
major_Computer Science,-0.00018750824154183386
parental_education_level,-0.00017088997173571042
family_income_range,-0.00013819835927915137
major_Business,-0.00012159024457858436
age,-7.718419407680699e-05
learning_style_Reading,-7.038272112931398e-05
major_Psychology,-6.343829475119467e-05
major_Engineering,-3.069620482323288e-05
extracurricular_participation_Yes,-1.904528769922642e-05
learning_style_Visual,-9.307028050531408e-06
exam_anxiety_score,0.0
major_Biology,1.6758633843116934e-05
part_time_job_Yes,1.7919501485996747e-05
netflix_hours,6.590706636273591e-05
internet_quality,7.211441087291437e-05
semester,0.00010502559278635637
dropout_risk_Yes,0.00010902763543079175
attendance_percentage,0.0003135164453491157
social_media_hours,0.0003955327825283739
social_activity,0.0004315148939825431
mental_health_rating,0.0005356859121973701
time_management_score,0.0009760705223321065
screen_time,0.0015278320687229785
study_environment_Co-Learning Group,0.0019676989373840436
study_environment_Library,0.0025191699249838217
study_environment_Quiet Room,0.008633119998876549
sleep_hours,0.013440701525138743
exercise_frequency,0.017302579967179522
access_to_tutoring_Yes,0.02696011914983598
stress_level,0.027481305445626637
study_environment_Dorm,0.02834015465302544
study_hours_per_day,0.12240860298897675
motivation_level,0.1369681012748067
