feature,mean_importance
Dist_Cluster_19,-0.0012894453131803373
Dist_Cluster_8,-0.0003731554596374087
semester,-0.0002970994270861116
netflix_hours,-0.00022252229920367573
study_environment_Co-Learning Group,-0.0001447152901818516
learning_style_Visual,-9.162549963994681e-05
major_Business,-9.153040127169998e-05
parental_education_level,-6.979563836104763e-05
dropout_risk_Yes,-5.6173802117287507e-05
gender_Other,-3.216342941563255e-05
Dist_Cluster_0,6.696324902419893e-05
major_Biology,8.091141925934409e-05
learning_style_Reading,9.43026378519063e-05
Dist_Cluster_14,0.0001880816859176182
Dist_Cluster_10,0.0003151509574244704
internet_quality,0.00040354631787939963
Dist_Cluster_2,0.0005400144723876288
major_Computer Science,0.00067377821600072
Cluster,0.0007457742031873992
Dist_Cluster_13,0.0010714662149263533
Dist_Cluster_27,0.0012221099003727476
screen_time,0.0014942199535157518
Dist_Cluster_4,0.0016438855591442536
Dist_Cluster_22,0.0019562752244826065
Dist_Cluster_12,0.0022230381220583297
Dist_Cluster_28,0.0029015487697364507
study_environment_Dorm,0.0038301416150126276
study_environment_Quiet Room,0.004058019534535551
Dist_Cluster_29,0.004431445407105716
study_environment_Library,0.00462493727915656
Dist_Cluster_3,0.004703495887580411
Dist_Cluster_17,0.006170576944572214
Dist_Cluster_18,0.006692802473278836
Dist_Cluster_34,0.008126373171225932
Dist_Cluster_25,0.008297424854143153
sleep_hours,0.010113267369397393
Dist_Cluster_32,0.013722302161366894
exercise_frequency,0.020106002637762743
stress_level,0.02351467730270982
access_to_tutoring_Yes,0.023622237082878538
motivation_level,0.06124947588428307
study_hours_per_day,0.11810671883907298
