feature,mean_importance
major_Computer Science,-0.0011878462720386507
family_income_range,-0.0008317971365870757
gender_Male,-0.0007890382263118889
attendance_percentage,-0.0006939883210378195
major_Biology,-0.0006169894779911589
parental_support_level,-0.0004293783692196351
part_time_job_Yes,-0.00040492525126132326
screen_time,-0.0003516923198869648
parental_education_level,-0.00033175955404369796
mental_health_rating,-0.0003093004589832304
major_Psychology,-0.00029582407468420335
gender_Other,-0.0002536831151122465
time_management_score,-0.00019977986631156686
learning_style_Kinesthetic,-0.00013347678536883566
extracurricular_participation_Yes,-4.646644558445878e-05
internet_quality,-5.91057363961145e-06
social_activity,0.0002608261738213269
learning_style_Visual,0.0002758504122202687
major_Business,0.00029852037648356864
age,0.0004546192740471744
diet_quality,0.0006093380397798942
dropout_risk_Yes,0.0006461309119014213
social_media_hours,0.0007201963520852006
netflix_hours,0.0007213222838225342
major_Engineering,0.0008268840448559134
semester,0.0008989079825283186
learning_style_Reading,0.0013523937206117332
study_environment_Co-Learning Group,0.006421083405501404
study_environment_Library,0.007681425336239211
exam_anxiety_score,0.010588684580178165
sleep_hours,0.01701324579913759
exercise_frequency,0.01907066260299344
study_environment_Quiet Room,0.019843628418196802
study_environment_Dorm,0.021088939321690293
stress_level,0.02711795127045318
access_to_tutoring_Yes,0.03112904313046403
motivation_level,0.07672997377731483
study_hours_per_day,0.13375011361363726
