feature,mean_importance
parental_support_level,-0.0011201433762643598
family_income_range,-0.0011176640682892813
parental_education_level,-0.0009692038956417903
major_Computer Science,-0.0008666967335783981
diet_quality,-0.0008593532323167175
social_activity,-0.0008391948064584209
screen_time_diff_exam_anxiety_score,-0.0007097786871806289
attendance_percentage,-0.0007031317192018882
learning_style_Reading,-0.0006860500605529562
learning_style_Kinesthetic,-0.0005941986395717969
gender_Other,-0.0005379317135582928
exam_anxiety_score,-0.0003497417078692111
learning_style_Visual,-0.00026720171584235783
extracurricular_participation_Yes,-0.00016122980465758108
internet_quality,-0.00012421794691679365
age,-8.69706691201122e-05
mental_health_rating,-7.287541736229474e-05
part_time_job_Yes,4.740634145863343e-05
major_Biology,7.998328234792851e-05
gender_Male,0.00010824480992646101
exam_anxiety_score_diff_access_to_tutoring_Yes,0.00020246956071459098
major_Business,0.0002493056994993692
semester,0.0003399189459223573
study_environment_Dorm,0.00035132008972360573
dropout_risk_Yes,0.00039720098363711377
time_management_score,0.0004059028447639168
major_Psychology,0.0006380212068961777
screen_time,0.0007479371556317283
major_Engineering,0.0008624107006510728
motivation_level_sum_screen_time,0.0008679557004714455
exam_anxiety_score_diff_study_environment_Dorm,0.0009195922361258768
social_media_hours,0.0009211272283717653
netflix_hours,0.0010148967931125296
study_hours_per_day_diff_exam_anxiety_score,0.0017661123398403423
study_environment_Dorm_sum_exam_anxiety_score,0.0017821001263872206
motivation_level,0.004244774952295294
study_environment_Co-Learning Group,0.005328254336127425
study_environment_Library,0.005725663782537471
access_to_tutoring_Yes_sum_motivation_level,0.005953672633085083
motivation_level_sum_study_hours_per_day,0.009632072866247832
motivation_level_diff_study_environment_Dorm,0.00968073362270574
study_hours_per_day,0.010377138582462586
access_to_tutoring_Yes,0.013827912484267268
study_environment_Quiet Room,0.016341067121300547
sleep_hours,0.016484952746626515
exercise_frequency,0.019635916010546196
stress_level,0.02822536734043892
study_hours_per_day_diff_study_environment_Dorm,0.032269948072723806
