feature,mean_importance
Dist_Cluster_20,-0.0015222840473940514
Dist_Cluster_24,-0.0012475721752296608
part_time_job_Yes,-0.0012003692549176436
sleep_hours,-0.0011462443125754174
extracurricular_participation_Yes,-0.0011124215631884925
internet_quality,-0.0010220978417569526
Dist_Cluster_33,-0.0009929172617376691
major_Business,-0.000985409507745416
learning_style_Visual,-0.0009582100090910872
diet_quality,-0.0009092905817018826
major_Computer Science,-0.0008318359419668741
Dist_Cluster_16,-0.0008104250689743742
Dist_Cluster_3,-0.0006903784872986263
Dist_Cluster_18,-0.0006697996752981217
Dist_Cluster_7,-0.0006225291031648483
Dist_Cluster_19,-0.0004629846667820736
dropout_risk_Yes,-0.00042677905603956124
Dist_Cluster_14,-0.0003537736487289278
netflix_hours,-0.0003388889360729008
Dist_Cluster_15,-0.00031538108473534444
Dist_Cluster_25,-0.00025767044751743293
Dist_Cluster_5,-0.00019739255714947834
Dist_Cluster_12,-0.00017049527492822846
Dist_Cluster_4,-0.00012188887248074654
Dist_Cluster_6,-2.4885924191608845e-05
Dist_Cluster_1,3.959517882667907e-05
attendance_percentage,5.296143179058799e-05
Dist_Cluster_35,0.00017710089754481296
Dist_Cluster_11,0.00027061578547551426
Dist_Cluster_26,0.00036440623139455397
social_activity,0.0003680160032804913
Dist_Cluster_13,0.000382996975073624
parental_education_level,0.00041795618156876825
Dist_Cluster_31,0.0004567475772970342
Dist_Cluster_22,0.0005013247890304662
mental_health_rating,0.0005507128269871764
Dist_Cluster_36,0.0006526001445982477
age,0.0006549076695467005
Dist_Cluster_8,0.0006593039022588342
Dist_Cluster_37,0.0006829934356056722
major_Psychology,0.0007060502966718784
Dist_Cluster_29,0.0007241303127088373
time_management_score,0.0008131520546906579
parental_support_level,0.0008460531867743537
major_Engineering,0.0008497682063605793
Dist_Cluster_32,0.0008548102157103666
Dist_Cluster_34,0.0009154651620657317
learning_style_Reading,0.0009326363487329514
Dist_Cluster_21,0.0009565299581947517
major_Biology,0.0013047370185465424
gender_Male,0.001370523826643022
Dist_Cluster_0,0.001391272928166698
social_media_hours,0.0013998903717123757
screen_time,0.0014180253440129853
Dist_Cluster_23,0.0015303850409013498
learning_style_Kinesthetic,0.0016618257349565457
gender_Other,0.0017122332471750878
Dist_Cluster_30,0.002147284572222774
study_environment_Co-Learning Group,0.002280840626619729
Dist_Cluster_9,0.0025609082403532436
exam_anxiety_score,0.0026150919972775634
Dist_Cluster_10,0.002825527223580382
family_income_range,0.0029341082568034027
semester,0.0031156991779568875
Cluster,0.0032858670311272987
study_environment_Dorm,0.0035270768545073495
Dist_Cluster_2,0.004995174290476756
study_environment_Library,0.006137326707675817
study_environment_Quiet Room,0.006493193401796371
Dist_Cluster_27,0.006810375422415804
Dist_Cluster_17,0.007043291653266293
Dist_Cluster_28,0.008424603948141995
stress_level,0.026402506658318847
exercise_frequency,0.029684006936869612
access_to_tutoring_Yes,0.04603941788525734
motivation_level,0.06740284254385231
study_hours_per_day,0.0954719948251137
