feature,mean_importance
Dist_Cluster_7,-0.0050717527603360455
Dist_Cluster_9,-0.0038229529005932906
family_income_range,-0.0028961886908779543
age,-0.0025712477033656535
exam_anxiety_score,-0.002220481417332132
Dist_Cluster_20,-0.0019417492059379926
Dist_Cluster_37,-0.0018086256285971603
parental_support_level,-0.001772332985734959
major_Engineering,-0.001767699222598229
random_feature,-0.001716636503254021
Dist_Cluster_21,-0.0015777582998427243
diet_quality,-0.0015567669541979967
Dist_Cluster_30,-0.0013380761376655449
Dist_Cluster_15,-0.001200125296949972
Dist_Cluster_5,-0.0011692309009365908
time_management_score,-0.0010809621180171368
Dist_Cluster_23,-0.0009020309859828268
mental_health_rating,-0.0008925058093493421
Dist_Cluster_24,-0.0007663692451140847
attendance_percentage,-0.0006871464105522529
Dist_Cluster_35,-0.000649770193015553
gender_Male,-0.0006048056851697625
Dist_Cluster_16,-0.0005139977281017228
Dist_Cluster_36,-0.0004903224332010403
social_media_hours,-0.0004635991788106253
major_Psychology,-0.0003652460505730648
Dist_Cluster_1,-0.00033547531636994864
Dist_Cluster_6,-0.00027155242272995926
Dist_Cluster_33,-0.0002668279074726998
learning_style_Kinesthetic,-0.0002023988686628897
extracurricular_participation_Yes,-0.0001499903692803839
part_time_job_Yes,-5.889867477235633e-05
Dist_Cluster_11,-5.336433624809622e-05
Dist_Cluster_26,-3.248663447834588e-05
social_activity,-1.9766770950879752e-05
Dist_Cluster_31,-1.4450575464031168e-05
Dist_Cluster_3,0.0001988781142042262
major_Computer Science,0.00024626479333065274
Dist_Cluster_25,0.0002969832260755201
Dist_Cluster_32,0.00031503116652507044
dropout_risk_Yes,0.0003391250956610081
Dist_Cluster_13,0.00034828036775538254
learning_style_Visual,0.000352962217658348
Dist_Cluster_0,0.0005710169568120538
semester,0.0006146153703492141
Dist_Cluster_4,0.0008424256546254449
Dist_Cluster_14,0.000886704685810491
gender_Other,0.0010456825817410254
study_environment_Co-Learning Group,0.0012019571394484175
parental_education_level,0.0012767783985279334
internet_quality,0.0013038123795225732
major_Biology,0.0013155431894253055
Dist_Cluster_18,0.0020193244556202306
Dist_Cluster_12,0.0020271715610520103
Dist_Cluster_29,0.002239609690544575
Cluster,0.002246059811771439
major_Business,0.0023058694173136106
Dist_Cluster_34,0.00250347837642384
study_environment_Quiet Room,0.0027699051317379153
learning_style_Reading,0.0029484498324048535
Dist_Cluster_8,0.003972155300892233
study_environment_Dorm,0.00411822600429339
Dist_Cluster_19,0.004186751626203899
Dist_Cluster_27,0.004343693238268354
study_environment_Library,0.004521095469562008
Dist_Cluster_10,0.004633061689387574
netflix_hours,0.0055868964183753535
screen_time,0.005881045802858776
Dist_Cluster_17,0.0059559883562408265
Dist_Cluster_2,0.006221663524215248
Dist_Cluster_22,0.00631876601137078
Dist_Cluster_28,0.007974334916271619
stress_level,0.008675987128483298
motivation_level,0.011214315516830987
sleep_hours,0.016855457155532383
exercise_frequency,0.01830092869664568
access_to_tutoring_Yes,0.018839358681567563
study_hours_per_day,0.1221140371428493
