feature,mean_importance
Dist_Cluster_28,-0.001522163380172703
Dist_Cluster_8,-0.0013264569960488525
dropout_risk_Yes,-0.0003720204106415492
Dist_Cluster_0,-0.0003678575336075518
learning_style_Visual,-0.0003204404071762257
Dist_Cluster_19,-0.00017764333780618814
Dist_Cluster_4,-9.588349154119325e-05
internet_quality,3.8172701912531085e-06
Cluster,5.596679688613104e-05
Dist_Cluster_14,0.00012927171410705984
major_Computer Science,0.00017793435973849635
Dist_Cluster_34,0.0002088374143618399
netflix_hours,0.00021853006056145042
major_Biology,0.00024686844199870437
Dist_Cluster_2,0.00030692646291035074
study_environment_Co-Learning Group,0.0003391686888770229
gender_Other,0.00034987463567237587
major_Business,0.00039671065637363333
Dist_Cluster_3,0.0005242013942814427
semester,0.0006529746499426059
parental_education_level,0.0007405744654589652
Dist_Cluster_27,0.0007901530002833778
Dist_Cluster_22,0.0009347317847034908
screen_time,0.0015717144955502693
learning_style_Reading,0.0016007493441282828
study_environment_Dorm,0.0018338490968280662
Dist_Cluster_13,0.002427963844982073
Dist_Cluster_10,0.0033892411926724542
Dist_Cluster_29,0.004764545880654269
Dist_Cluster_12,0.0050444348849014945
Dist_Cluster_17,0.006404807721130635
study_environment_Library,0.006980649603181188
Dist_Cluster_32,0.007554948910965598
study_environment_Quiet Room,0.007848717971030861
Dist_Cluster_25,0.00843769759942652
Dist_Cluster_18,0.01239984200100146
sleep_hours,0.014362277077500263
exercise_frequency,0.021399570614740116
stress_level,0.03000617953140332
access_to_tutoring_Yes,0.03492381341888866
motivation_level,0.0717402343860584
study_hours_per_day,0.14212638218154539
