feature,mean_importance
age,-2.2204460492503132e-17
study_environment_Quiet Room,-2.2204460492503132e-17
extracurricular_participation_Yes,-2.2204460492503132e-17
gender_Male,0.0
gender_Other,0.0
major_Biology,0.0
major_Business,0.0
major_Computer Science,0.0
major_Engineering,0.0
major_Psychology,0.0
part_time_job_Yes,0.0
dropout_risk_Yes,0.0
study_environment_Co-Learning Group,0.0
study_environment_Library,0.0
learning_style_Kinesthetic,0.0
time_management_score,0.0
learning_style_Reading,0.0
learning_style_Visual,0.0
parental_support_level,0.0
family_income_range,0.0
social_media_hours,0.0
social_activity,0.0
netflix_hours,0.0
semester,0.0
mental_health_rating,0.0
internet_quality,0.0
parental_education_level,0.0
attendance_percentage,0.0
diet_quality,0.0
exercise_frequency,7.793714978479027e-05
sleep_hours,0.00013590310220623625
screen_time,0.0003001093073937477
stress_level,0.0017284951293226936
motivation_level,0.007096472242073992
access_to_tutoring_Yes,0.0077852304218616105
study_environment_Dorm,0.047860715278700304
exam_anxiety_score,0.08656716395445938
study_hours_per_day,0.09619592519716642
